Job Title,Skills,Job Description,Job Role
Data Scientist,Python SQL Machine Learning Deep Learning Statistics TensorFlow Pandas NumPy Scikit-learn Data Visualization,"Analyze large datasets to extract insights, build predictive models using machine learning algorithms, and present findings to stakeholders. Experience with Python and statistical modeling required.",Data Science
Machine Learning Engineer,Python Machine Learning Deep Learning TensorFlow PyTorch Docker Kubernetes MLOps Scikit-learn,"Design and implement machine learning pipelines, deploy ML models to production, optimize model performance and scalability.",Machine Learning
Data Analyst,SQL Excel Python Tableau Power BI Statistics Data Visualization R,"Collect and interpret data, generate reports, build dashboards, and provide actionable insights to business teams.",Data Analytics
Software Engineer,Python Java JavaScript React Node.js Git Docker SQL REST API,"Develop and maintain software applications, write clean code, participate in code reviews, and collaborate with cross-functional teams.",Software Development
Web Developer,HTML CSS JavaScript React Angular Node.js MongoDB REST API Git,"Design and build responsive websites and web applications. Strong knowledge of front-end and back-end technologies required.",Web Development
DevOps Engineer,Linux Docker Kubernetes CI/CD Jenkins Git AWS Azure Terraform Ansible,"Manage cloud infrastructure, implement CI/CD pipelines, automate deployments, and ensure system reliability and scalability.",DevOps
Business Analyst,Excel SQL Power BI Tableau Communication Project Management Requirements Analysis,"Analyze business processes, gather requirements from stakeholders, and translate them into technical specifications.",Business Analysis
Database Administrator,SQL MySQL PostgreSQL MongoDB Oracle Database Optimization Backup Recovery,"Design, implement, and maintain databases. Ensure data integrity, security, and optimal performance.",Database Management
NLP Engineer,Python NLP NLTK spaCy Transformers BERT Machine Learning Deep Learning Text Mining,"Build natural language processing models, work on text classification, sentiment analysis, and language generation tasks.",Natural Language Processing
Computer Vision Engineer,Python Deep Learning TensorFlow PyTorch OpenCV Image Processing CNN,"Develop image recognition systems, object detection models, and video analysis pipelines using deep learning.",Computer Vision
Full Stack Developer,HTML CSS JavaScript React Node.js Python Django SQL MongoDB Git REST API,"Build end-to-end web applications handling both front-end and back-end development, database design and API creation.",Full Stack Development
Data Engineer,Python SQL Spark Hadoop ETL AWS Data Warehousing Airflow Kafka,"Design and build data pipelines, manage big data infrastructure, and ensure reliable data flow across systems.",Data Engineering
Cybersecurity Analyst,Network Security Linux Python Penetration Testing Firewalls SIEM Encryption,"Monitor and protect systems from cyber threats, conduct vulnerability assessments, and respond to security incidents.",Cybersecurity
Cloud Architect,AWS Azure GCP Docker Kubernetes Terraform Linux Networking Security,"Design and implement cloud infrastructure solutions, ensuring scalability, reliability, and cost-efficiency.",Cloud Computing
AI Research Scientist,Python Machine Learning Deep Learning Mathematics Statistics Research TensorFlow PyTorch,"Conduct research on cutting-edge AI techniques, publish papers, and develop novel algorithms and architectures.",Artificial Intelligence
Android Developer,Java Kotlin Android SDK REST API SQL Git,"Design and develop Android mobile applications, integrate APIs, and optimize app performance.",Mobile Development
iOS Developer,Swift Objective-C iOS SDK REST API Xcode Git,"Build and maintain iOS mobile apps, implement UI/UX designs, and integrate backend services.",Mobile Development
Product Manager,Communication Agile Scrum Project Management SQL Data Analysis Roadmap,"Define product vision, gather user requirements, manage product roadmap and coordinate with engineering teams.",Product Management
UI/UX Designer,Figma Adobe XD CSS HTML Prototyping User Research Wireframing,"Create intuitive user interfaces, conduct user research, and design wireframes and prototypes for digital products.",UI/UX Design
Systems Analyst,SQL Linux Python Networking Systems Architecture Documentation,"Analyze and improve existing IT systems, document technical requirements, and recommend technology solutions.",Systems Analysis
Blockchain Developer,Solidity Ethereum Python JavaScript Smart Contracts Web3 Cryptography,"Develop decentralized applications and smart contracts on blockchain platforms.",Blockchain Development
QA Engineer,Selenium Python Java Test Automation JIRA SQL Manual Testing,"Design test plans, automate test cases, identify bugs and ensure software quality across development cycles.",Quality Assurance
Data Architect,SQL NoSQL Data Modeling ETL Data Warehousing AWS Architecture,"Design enterprise data architecture, establish data standards, and oversee data governance.",Data Architecture
Research Analyst,Python R Statistics Excel Data Analysis Literature Review Reporting,"Conduct quantitative and qualitative research, synthesize findings and produce analytical reports.",Research
Financial Analyst,Excel SQL Python Finance Statistics Financial Modeling Bloomberg,"Analyze financial data, build forecasting models, and advise on investment strategies.",Finance
